Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2009'],['США'],"['триллер, детектив, драма']",['«Some places never let you go»'],['Мартин Скорсезе'],"['Лаэта Калогридис, Деннис Лихейн']","['Брэдли Дж. Фишер, Майк Медавой, Мартин Скорсезе, ...']",['Роберт Ричардсон'],['—'],"['Данте Ферретти, Макс Биско, Роберт Гуерра, ...']",['Тельма Скунмейкер'],['$80 000 000'],,['$128 012 934'],['+ $166 791 261 = $294 804 195'],['16.2 млн'],"['18 февраля 2010, «Каскад фильм»']","['13 февраля 2010, ...']","['25 марта 2010, «Союз-Видео»']",['18+'],['R'],['138 мин. / 02:18'],"['Остров проклятых (2009)', 'Shutter Island18+']","['Леонардо ДиКаприо', 'Марк Руффало', 'Бен Кингсли', 'Макс фон Сюдов', 'Мишель Уильямс', 'Эмили Мортимер', 'Патриша Кларксон', 'Джеки Эрл Хейли', 'Тед Левайн', 'Джон Кэрролл Линч']",['8.5'],"['25 марта 2010, «Союз-Видео»']",['$5 430 049'],"['14 августа 2021, «Capella Film»']",,,,
['Русский'],['Нет'],[],['1972'],['СССР'],"['драма, военный, история']",['—'],['Станислав Ростоцкий'],"['Станислав Ростоцкий, Борис Васильев']",,['Вячеслав Шумский'],['Кирилл Молчанов'],"['Сергей Серебренников, Эльза Рапопорт']",['Валентина Миронова'],,,,,['66 млн'],,"['27 августа 1972, ...']","['29 февраля 2008, «Монолит»']",['12+'],['PG-13'],['160 мин. / 02:40'],"['...А зори здесь тихие (1972)', '12+']","['Елена Драпеко', 'Екатерина Маркова', 'Ольга Остроумова', 'Ирина Шевчук', 'Ирина Долганова', 'Андрей Мартынов', 'Людмила Зайцева', 'Алла Мещерякова', 'Алексей Чернов', 'Виктор Авдюшко']",['8.5'],,,,,['Григорий Рималис'],,
,,,['2010'],"['США, Великобритания']","['фантастика, боевик, триллер, драма, детектив']",['«Твой разум - место преступления»'],['Кристофер Нолан'],['Кристофер Нолан'],"['Кристофер Нолан, Эмма Томас, Закария Алауи, ...']",['Уолли Пфистер'],['Ханс Циммер'],"['Гай Диас, Люк Фриборн, Мэттью Грэй, ...']",['Ли Смит'],['$160 000 000'],,['$292 576 195'],['+ $535 745 837 = $828 322 032'],['37.1 млн'],"['22 июля 2010, «Каро-Премьер»']","['8 июля 2010, ...']","['7 декабря 2010, «Юниверсал Пикчерс Рус»']",['12+'],['PG-13'],['148 мин. / 02:28'],"['Начало (2010)', 'Inception12+']","['Леонардо ДиКаприо', 'Джозеф Гордон-Левитт', 'Эллиот Пейдж', 'Том Харди', 'Кэн Ватанабэ', 'Дилип Рао', 'Киллиан Мёрфи', 'Том Беренджер', 'Марион Котийяр', 'Пит Постлетуэйт']",['8.7'],"['7 декабря 2010, «Юниверсал Пикчерс Рус»']",['$66 113'],"['13 августа 2020, «Каро-Премьер»']",,,,
['Русский'],['Нет'],[],['1975'],['СССР'],"['драма, военный']",['—'],['Сергей Бондарчук'],"['Сергей Бондарчук, Михаил Шолохов']",,['Вадим Юсов'],['Вячеслав Овчинников'],"['Феликс Ясюкевич, Надежда Бузина']",['Елена Михайлова'],,,,,['40.6 млн'],,"['12 мая 1975, ...']","['4 мая 2005, «Ruscico»']",['12+'],,['160 мин. / 02:40'],"['Они сражались за Родину (1975)', '12+']","['Василий Шукшин', 'Вячеслав Тихонов', 'Сергей Бондарчук', 'Георгий Бурков', 'Юрий Никулин', 'Иван Лапиков', 'Николай Губенко', 'Андрей Ростоцкий', 'Николай Волков', 'Николай Шутько']",['8.4'],,,,,['Игорь Лазаренко'],,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2001'],"['Великобритания, США']","['фэнтези, приключения, семейный']",['«Путешествие в твою мечту»'],['Крис Коламбус'],"['Стивен Кловз, Дж.К. Роулинг']","['Тодд Арноу, Майкл Барнатан, Крис Коламбус, ...']",['Джон Сил'],['Джон Уильямс'],"['Стюарт Крэйг, Эндрю Эклэнд-Сноу, Питер Френсис, ...']",['Ричард Фрэнсис-Брюс'],['$125 000 000'],['$40 000 000'],['$317 575 550'],['+ $657 179 821 = $974 755 371'],['55.7 млн'],"['21 марта 2002, «Каро-Премьер»']","['4 ноября 2001, ...']","['28 августа 2002, «Premier Digital»']",['12+'],['PG'],['152 мин. / 02:32'],"['Гарри Поттер и философский камень (2001)', ""Harry Potter and the Sorcerer's Stone12+""]","['Дэниэл Рэдклифф', 'Руперт Гринт', 'Эмма Уотсон', 'Ричард Харрис', 'Алан Рикман', 'Мэгги Смит', 'Робби Колтрейн', 'Том Фелтон', 'Мэттью Льюис', 'Иэн Харт']",['8.2'],"['23 декабря 2008, «Юниверсал Пикчерс Рус»']",['$5 474 384'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Перевод надписей, Английские']",[],['2000'],"['Великобритания, США']","['криминал, комедия, боевик']",['«Stealing stones is hazardous»'],['Гай Ричи'],['Гай Ричи'],"['Мэттью Вон, Майкл Дрейер, Стефен Маркс, ...']",['Тим Морис-Джонс'],['Джон Мерфи'],"['Хуго Луцык-Выховский, Джули Филпотт, Верити Хоукс, ...']",['Джон Харрис'],['$10 000 000'],,['$30 328 156'],['+ $53 229 716 = $83 557 872'],['5.6 млн'],"['10 мая 2001, «Каскад фильм»']","['23 августа 2000, ...']","['30 августа 2001, «Columbia/Sony»']",['16+'],['R'],['104 мин. / 01:44'],"['Большой куш (2000)', 'Snatch16+']","['Джейсон Стэйтем', 'Стивен Грэм', 'Брэд Питт', 'Алан Форд', 'Робби Ги', 'Ленни Джеймс', 'Эд', 'Деннис Фарина', 'Раде Шербеджия', 'Винни Джонс']",['8.5'],"['29 октября 2009, «Columbia/Sony»']",,,,,['Установить на ТВ'],
,,,['1988'],['СССР'],"['мультфильм, приключения, мюзикл, комедия, семейный']",['—'],['Давид Черкасский'],"['Юрий Аликов, Давид Черкасский, Роберт Льюис Стивенсон']",,"['Владимир Белоруссов, Виктор Груздев']",['Владимир Быстряков'],['Радна Сахалтуев'],['Юлия Сребницкая'],,,,,,,['24 марта 1989'],"['22 марта 2011, «Lizard Cinema Trade»']",['6+'],['G'],['107 мин. / 01:47'],"['Остров сокровищ (1988)', '6+']","['Владимир Заднепровский', 'Евгений Паперный', 'Армен Джигарханян', 'Юрий Яковлев', 'Валерий Бессараб', 'Борис Вознюк', 'Георгий Кишко', 'Валерий Чигляев', 'Виктор Андриенко', 'Григорий Толчинский']",['8.3'],,,,,['Борис Калашников'],,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['2002'],"['США, Канада']","['криминал, биография, комедия']",['«Правдивая история о реальном преступнике»'],['Стивен Спилберг'],"['Джефф Натансон, Фрэнк Эбегнейл мл., Стэн Реддинг']","['Уолтер Ф. Паркс, Стивен Спилберг, Барри Кемп, ...']",['Януш Камински'],['Джон Уильямс'],"['Джаннин Оппуолл, Сара Ноулз, Мэри Зофрис, ...']",['Майкл Кан'],['$52 000 000'],['$35 000 000'],['$164 615 351'],['+ $187 498 961 = $352 114 312'],['27.9 млн'],"['13 февраля 2003, «Ист-Вест»']","['16 декабря 2002, ...']","['29 июля 2004, «Premier Digital»']",['16+'],['PG-13'],['141 мин. / 02:21'],"['Поймай меня, если сможешь (2002)', 'Catch Me If You Can16+']","['Леонардо ДиКаприо', 'Том Хэнкс', 'Кристофер Уокен', 'Мартин Шин', 'Натали Бай', 'Эми Адамс', 'Джеймс Бролин', 'Брайан Хау', 'Фрэнк Джон Хьюз', 'Стив Истин']",['8.5'],,['$2 427 426'],,,,,
"['Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Русский 5.1 (Кубик в Кубе 18+), Английский, Английский 5.1']",['Русские'],[],['2019'],"['Великобритания, США']","['криминал, комедия, боевик']",['«Criminal. Class»'],['Гай Ричи'],"['Гай Ричи, Айван Эткинсон, Марн Дэвис, ...']","['Мэттью Андерсон, Айван Эткинсон, Билл Блок, ...']",['Алан Стюарт'],['Кристофер Бенстед'],"['Джемма Джексон, Рэйчел Олтон, Оливер Кэрролл, ...']","['Джеймс Херберт, Пол Мачлисс']",['$22 000 000'],,['$36 471 795'],['+ $78 700 000 = $115 171 795'],,"['13 февраля 2020, «Вольга»']","['3 декабря 2019, ...']",,['18+'],['R'],['113 мин. / 01:53'],"['Джентльмены (2019)', 'The Gentlemen18+']","['Мэттью МакКонахи', 'Чарли Ханнэм', 'Генри Голдинг', 'Хью Грант', 'Мишель Докери', 'Джереми Стронг', 'Эдди Марсан', 'Джейсон Вонг', 'Колин Фаррелл', 'Лин Рене']",['8.5'],,['$18 003 343'],,"['31 марта 2020, «Вольга»']",,['Установить на ТВ'],
,,,['1973'],['СССР'],"['военный, драма, комедия']",['—'],['Леонид Быков'],"['Леонид Быков, Евгений Оноприенко, Александр Сацкий']",,['Владимир Войтенко'],['Виктор Шевченко'],"['Георгий Прокопец, Л. Коротенко']",['М. Зоровой'],['$500 000'],,,,['44.3 млн'],,"['12 августа 1974, ...']","['19 февраля 2009, «Мьюзик-Трейд»']",['12+'],,['87 мин. / 01:27'],"['В бой идут одни «старики» (1973)', '12+']","['Леонид Быков', 'Сергей Подгорный', 'Сергей Иванов', 'Рустам Сагдуллаев', 'Евгения Симонова', 'Ольга Матешко', 'Владимир Талашко', 'Алексей Смирнов', 'Виктор Мирошниченко', 'Григорий Гладий']",['8.7'],"['28 апреля 2011, «Новый Диск»']",,,,"['Николай Злочевский, Илья Фидман']",,
